COUNTRY,DDATE,ZONES,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,AVG
Austria,12/8/2022,NAT,288.56,280.4,269.27,264.27,275.33,300.45,332.77,414.32,449.99,456.51,450.19,449.99,447.35,447.26,453.98,456.99,462.92,498.21,469.75,465.36,439.94,356.97,325.02,296.49,389.67875
Austria,12/9/2022,NAT,334.01,305.48,302.38,298.49,304.04,317.66,362.64,456.43,489.76,486.44,478.7,488.05,481.1,470,476.44,470.57,474.88,507.91,480.01,463.46,446.22,380.81,378.47,315.06,415.3754167
Austria,12/10/2022,NAT,307.89,299.96,284.25,281.73,280.98,283.88,292.28,311.12,345.08,396.61,419.33,412.38,398.1,375.9,377.07,393.5,420.59,449.92,442.7,420.03,360.7,323.28,300.18,277.87,352.3054167
Austria,12/11/2022,NAT,255.24,252.44,255.96,246.56,245.75,246.64,248.39,256.9,281.56,315.47,324.99,339.68,338.45,324.74,327.89,336.51,361.6,413.94,430.6,413.26,384.54,335.35,323.96,298.83,314.96875
Austria,12/12/2022,NAT,241.44,242.99,236.26,239.66,235.94,277.42,401.5,505,529.93,513.99,504.94,494.91,490.53,488.46,506.04,535.73,558.54,588.09,545.8,514.97,490,408.9,347.97,267.18,423.59125
Austria,12/13/2022,NAT,303.58,281.15,283.99,270.97,274.7,316.07,368.9,499.7,571.76,553.29,518.08,516.2,486.82,506.03,552.71,570.25,590,665.01,602.98,527.63,464.48,369.4,333.61,308.6,447.3295833
Belgium,12/8/2022,NAT,329.99,311.6,301.94,291.19,288.25,302.9,324.77,418.2,490.41,472.1,495.28,478.13,445.42,444.61,453.8,456.99,462.92,498.21,552.9,550.31,487.48,387,367.5,328.85,414.1979167
Belgium,12/9/2022,NAT,361.71,325.6,312.89,309.42,309.28,321.19,379.99,460.61,538.97,515.56,509.1,509.77,481.1,470,476.44,507.56,544.48,507.91,506.41,520.6,479.01,406.04,403.91,356.69,438.0933333
Belgium,12/10/2022,NAT,328.8,328.18,316.41,302.07,290.54,297.92,303.7,327.37,348.44,396.61,419.33,412.38,398.1,375.9,377.07,393.5,420.59,449.92,442.7,439.44,372.51,338.8,336.12,328.76,364.3816667
Belgium,12/11/2022,NAT,307.81,303.77,297.66,281.47,277.32,275.34,283.66,293.8,300.16,321.03,340.01,344.84,348.45,324.74,328.26,336.51,361.6,413.94,433.5,417.67,390,335.35,331.89,312.99,331.7404167
Belgium,12/12/2022,NAT,302.73,294.4,294.64,285.85,288.83,304.31,384.2,505,658.6,653.89,510.16,498.3,500,532.65,519.02,535.83,558.54,603.29,650.94,570.35,491.82,408.9,369.62,344.87,461.1141667
Belgium,12/13/2022,NAT,311.7,299.66,288.53,279,284.16,316.07,368.9,499.7,571.76,553.29,550.1,553,502.49,506.03,552.71,570.25,590,665.01,657.28,555.2,540.9,455.99,394,345.8,467.1470833
Bulgaria,12/8/2022,NAT,254.22,182.19,167.03,167.03,232,300.39,332.16,413.05,449.92,456.39,330.26,305.5,305.5,324.31,454,456.99,462.92,498.21,468.76,464.26,439.36,349.97,316.61,247.05,349.0866667
Bulgaria,12/9/2022,NAT,148.84,150.63,235.48,215.79,265.52,292,362.25,456.36,474.51,476,441.37,305.58,481.1,470,476.44,485.16,420.39,507.91,462.42,450.38,151.44,152.42,156,91.69,338.7366667
Bulgaria,12/10/2022,NAT,272.73,185.43,183.6,168.34,168.35,258.39,271.22,284.91,338.62,396.61,419.33,412.38,398.1,375.9,377.07,393.5,420.59,449.92,442.7,397.85,347.24,305.72,230.08,192.2,320.4491667
Bulgaria,12/11/2022,NAT,10.13,1,0.2,0.2,0.2,0.2,2,15,152.79,152.8,280,174.67,330.61,324.74,308.18,336.51,361.6,413.94,430.46,413.2,384.47,335.35,311.16,183.58,205.1245833
Bulgaria,12/12/2022,NAT,20.32,10,45.6,71.09,44.75,267.26,377.26,505,629.94,624.83,595.14,546.48,560.57,565.06,591.32,662.04,708.58,664.69,669.17,666.54,477.55,408.9,337.28,168.35,425.7383333
Bulgaria,12/13/2022,NAT,264.15,149.61,133.74,73.38,81.71,316.07,368.9,499.7,571.76,553.29,328.88,281,329.99,506.03,552.71,570.25,590,665.01,602.03,526.38,461.6,365.52,330.74,294.94,392.39125
Germany,12/8/2022,NAT,286.56,280.78,269.67,269.91,275.49,299.79,326,400.09,447.43,454.09,447.85,446.22,448.47,448.26,454.05,456.99,462.92,498.21,459.27,454.02,433.91,353.13,328.31,299.24,387.5275
Germany,12/9/2022,NAT,334.01,306.42,302.38,298.49,304.04,317.66,358.77,455.38,474.29,474.7,471.33,484.16,481.1,470,476.44,473.91,474.88,507.91,477.37,451.51,440,376,338.04,316.22,411.0420833
Germany,12/10/2022,NAT,312.48,306,290.79,287.26,284.9,287.15,295.35,313.58,346.14,396.61,419.33,412.38,398.1,375.9,377.07,393.5,420.59,449.92,442.7,420.72,361.15,323.88,307.65,288.27,354.6425
Germany,12/11/2022,NAT,300.65,292.8,288.08,272.52,268.42,269.24,280.98,279.73,293.09,320.09,326.55,345.19,347.71,324.74,328.31,336.51,361.6,413.94,430.05,412.74,383.98,335.35,323.85,306.25,326.7654167
Germany,12/12/2022,NAT,280.18,277.68,274.31,269.79,267.92,283.71,392.24,505,545.22,513.99,505.47,497.62,489.95,482.8,506.04,535.73,558.54,588.09,558.66,508.04,490,408.9,361.32,313.2,433.9333333
Germany,12/13/2022,NAT,306.14,288.11,285.28,276.98,282.3,316.07,368.9,499.7,571.76,553.29,518.08,505.16,482.78,506.03,552.71,570.25,590,665.01,595.94,522.58,452.47,353.79,321.03,283.08,444.4766667
Estonia,12/8/2022,NAT,295.72,280.78,269.67,269.91,275.49,299.97,328.43,406.39,447.82,454.09,447.85,448.58,449.29,448.26,454.05,456.99,462.92,498.21,459.27,454.02,433.91,352.92,320.43,286.26,387.55125
Estonia,12/9/2022,NAT,334.11,304.86,293.01,289.23,294.61,310.59,360.57,455.66,474.29,474.7,471.33,484.16,481.1,470,476.44,473.91,463.48,507.91,473.44,451.51,440,376,329.92,308.63,408.3108333
Estonia,12/10/2022,NAT,302.79,296.51,282.36,278.83,276.73,280.26,288.89,306.05,344.1,396.61,419.33,412.38,398.1,375.9,377.07,393.5,420.59,449.92,442.7,420.72,361.15,323.88,307.65,285.28,351.7208333
Estonia,12/11/2022,NAT,300.56,287.98,288.08,272.52,268.42,269.24,280.98,279.73,293.09,320.09,326.55,355.88,347.71,324.74,328.31,336.51,361.6,413.94,430.05,412.74,383.98,335.35,323.85,306.25,327.00625
Estonia,12/12/2022,NAT,280.18,242.41,240,240,240,276.9,382.82,505,532.13,501.65,505.47,497.35,489.95,482.8,506.04,530.26,450,531.15,530.23,495.84,320.01,325,252.63,199.99,398.2420833
Estonia,12/13/2022,NAT,275.01,260.53,244.59,243.09,272.15,308.49,368.9,499.7,571.76,553.29,518.08,505.16,482.78,506.03,552.71,570.25,590,665.01,595.94,522.58,452.47,353.79,321.03,283.08,438.1841667
Finland,12/8/2022,NAT,295.72,280.78,269.67,269.91,275.49,299.79,328.43,406.39,399.91,350,346.45,446.22,448.47,448.26,419.23,388.04,392.71,399.91,459.27,450,391.03,352.92,320.43,286.26,363.55375
Finland,12/9/2022,NAT,325.99,299.07,293.01,289.23,294.61,310.59,360.57,455.38,474.29,474.7,471.33,484.16,481.1,470,476.44,473.91,463.48,507.91,473.44,451.51,440,376,329.92,308.63,407.7195833
Finland,12/10/2022,NAT,302.79,296.51,282.36,278.83,276.73,280.26,288.89,306.05,344.1,329.95,329.14,325.59,383.26,375.9,377.07,387,408.08,379.75,370.01,327.74,299.99,323.88,307.65,281.88,327.6420833
Finland,12/11/2022,NAT,295.55,287.98,288.08,272.52,268.42,269.24,280.98,279.73,293.09,320.09,326.55,345.19,347.71,324.74,328.31,336.51,361.6,413.94,430.05,412.74,383.98,335.35,323.85,306.25,326.3520833
Finland,12/12/2022,NAT,280.18,242.41,240,240,240,276.9,382.82,505,532.13,501.65,505.47,497.35,489.95,474.17,450,449.99,450,531.15,476.36,395.09,320.01,325,252.63,199.99,385.7604167
Finland,12/13/2022,NAT,275.01,260.53,244.59,243.09,272.15,306.91,300,499.7,549.93,553.29,518.08,505.16,482.78,506.03,552.71,570.25,590,665.01,595.94,522.58,452.47,353.79,321.03,283.08,434.3379167
France,12/8/2022,NAT,357.39,331.11,322.35,304.66,296.35,304.8,372.84,478.03,472.72,482.1,475.59,463.53,445.2,445.06,453.83,456.99,462.92,498.21,508.91,504.34,462.52,386.54,376.13,354.55,417.36125
France,12/9/2022,NAT,362.64,334.86,318.48,314.69,309.28,321.19,377.71,463.66,548.86,521.72,520.67,524.42,481.1,470,476.44,507.56,557.98,507.91,524.07,561.9,502.07,419.2,448.37,381.55,448.1804167
France,12/10/2022,NAT,336.74,338.87,331.36,309.1,293.35,304.99,309.36,336.37,350,396.61,419.33,412.38,398.1,375.9,377.07,393.5,420.59,449.92,442.7,451.1,379.66,348.25,354.68,354.92,370.2020833
France,12/11/2022,NAT,310.47,304.83,298.7,284.08,279.9,277.66,286.55,303.65,305.55,322.05,334.17,344.14,348.45,324.74,328.21,336.51,361.6,413.94,435.64,415.95,387.12,335.35,336.9,316.8,333.04
France,12/12/2022,NAT,318.45,305.83,308.93,297.12,303.49,319.38,392.24,505,658.6,753,510.16,497.62,494.79,510.52,514.37,535.78,558.04,603.29,620.33,549.6,491.82,408.9,369.62,344.87,465.4895833
France,12/13/2022,NAT,313.13,308.26,295.35,284.66,287.42,316.07,368.9,499.7,571.76,553.29,550.1,552.55,501.52,506.03,552.71,570.25,590,665.01,628.82,541.99,499.74,413,371.78,381,463.46
Greece,12/8/2022,NAT,254.22,182.19,167.03,167.03,232,300.39,332.16,413.05,449.92,329.19,323.89,305.5,305.5,318.57,323.89,453.54,462.92,493.56,468.76,464.26,439.36,349.97,316.61,247.05,337.5233333
Greece,12/9/2022,NAT,230.71,248,235.48,215.79,265.52,292,327.4,456.36,441,350,299.99,299.99,289.17,288.89,290,350,400.18,406.04,307.27,409.63,151.44,152.42,174.6,280.95,298.45125
Greece,12/10/2022,NAT,272.74,185.43,183.6,168.34,168.35,258.39,271.22,284.91,316.02,357.5,321.53,323.45,330.01,321.16,321.16,330.01,343.16,371.16,340.01,340.01,330.01,305.72,230.08,192.2,286.0904167
Greece,12/11/2022,NAT,10.13,1,0.2,0.2,0.2,0.2,2,15,152.79,152.8,280,174.67,255.66,112,100,121.3,311.16,324.21,315,317.89,329.31,319.19,311.16,183.58,157.9020833
Greece,12/12/2022,NAT,20.32,10,45.6,71.09,44.75,267.27,377.26,458.7,510.44,485.71,324.43,196.5,285.5,336.64,498.85,535.73,558.04,588.09,545.8,514.97,477.55,408.9,250,0,325.5058333
Greece,12/13/2022,NAT,62.67,19.49,29.89,64.1,81.71,149.71,322.28,343.58,353.69,348.9,328.89,281,329.99,328.33,359.75,520.31,573,600.1,573.46,526.38,461.6,365.52,330.74,294.94,318.75125
Hungary,12/8/2022,NAT,271.08,263.99,252.12,247.36,268.54,300.31,331.52,412.03,449.44,455.89,449.56,449.6,447.99,447.76,454.01,456.99,462.92,498.21,468.1,463.59,438.99,352.98,319.72,272.68,384.8075
Hungary,12/9/2022,NAT,339.16,303.74,261.96,246.84,279.71,302.34,362.01,456.23,474.19,475.42,489.29,497.26,481.1,470,476.44,489.31,474.88,507.91,470.73,455.05,459.75,391.82,291.42,311.09,406.9854167
Hungary,12/10/2022,NAT,291,237.82,232.05,227.97,230.26,271.79,282.17,298.28,342.08,396.61,419.33,412.38,398.1,375.9,377.07,393.5,420.59,449.92,442.7,408.95,353.95,314.39,265.93,236.26,336.625
Hungary,12/11/2022,NAT,217.61,207.61,214.54,194.16,189.88,200.5,205.96,238.35,266.11,311.94,322.63,349.72,330.61,324.74,328.62,336.51,361.6,413.94,430.38,413.16,384.43,335.35,323.65,302.26,300.1775
Hungary,12/12/2022,NAT,153,148.12,142.28,133.14,141.99,265.11,372.66,505,551.58,498.9,505.95,495.28,492.93,490.32,506.04,539.94,565.31,580,549.68,534.89,476.59,408.9,337.84,178.6,398.91875
Hungary,12/13/2022,NAT,290.83,232.5,199.03,207.14,247.35,316.07,368.9,499.7,571.76,553.29,531.83,526.74,494.62,506.03,552.71,570.25,590,665.01,601.62,526.13,461.02,364.76,330.13,292.65,437.5029167
Lithuania,12/8/2022,NAT,295.72,280.78,269.67,269.91,275.49,299.97,328.43,406.39,447.82,454.09,447.85,448.58,449.29,448.26,454.05,456.99,462.92,498.21,459.27,454.02,433.91,352.92,320.43,286.26,387.55125
Lithuania,12/9/2022,NAT,334.11,304.86,293.01,289.23,294.61,310.59,360.57,455.66,474.29,474.7,471.33,484.16,481.1,470,476.44,473.91,463.48,507.91,473.44,451.51,440,376,329.92,308.63,408.3108333
Lithuania,12/10/2022,NAT,302.79,296.51,282.36,278.83,276.73,280.26,288.89,306.05,344.1,396.61,419.33,412.38,398.1,375.9,377.07,393.5,420.59,449.92,442.7,420.72,361.15,323.88,307.65,285.28,351.7208333
Lithuania,12/11/2022,NAT,300.56,287.98,288.08,272.52,268.42,269.24,280.98,279.73,293.09,320.09,326.55,355.88,347.71,324.74,328.31,336.51,361.6,413.94,430.05,412.74,383.98,335.35,323.85,306.25,327.00625
Lithuania,12/12/2022,NAT,280.18,242.41,240,240,240,276.9,382.82,505,532.13,501.65,505.47,497.35,489.95,482.8,506.04,534.41,545.14,573.98,545.25,495.84,473.79,399.09,338.7,199.99,417.8704167
Lithuania,12/13/2022,NAT,298.8,260.53,244.59,243.09,272.15,308.49,368.9,499.7,571.76,553.29,518.08,505.16,482.78,506.03,552.71,570.25,590,665.01,595.94,522.58,452.47,353.79,321.03,283.08,439.1754167
Latvia,12/8/2022,NAT,295.72,280.78,269.67,269.91,275.49,299.97,328.43,406.39,447.82,454.09,447.85,448.58,449.29,448.26,454.05,456.99,462.92,498.21,459.27,454.02,433.91,352.92,320.43,286.26,387.55125
Latvia,12/9/2022,NAT,334.11,304.86,293.01,289.23,294.61,310.59,360.57,455.66,474.29,474.7,471.33,484.16,481.1,470,476.44,473.91,463.48,507.91,473.44,451.51,440,376,329.92,308.63,408.3108333
Latvia,12/10/2022,NAT,302.79,296.51,282.36,278.83,276.73,280.26,288.89,306.05,344.1,396.61,419.33,412.38,398.1,375.9,377.07,393.5,420.59,449.92,442.7,420.72,361.15,323.88,307.65,285.28,351.7208333
Latvia,12/11/2022,NAT,300.56,287.98,288.08,272.52,268.42,269.24,280.98,279.73,293.09,320.09,326.55,355.88,347.71,324.74,328.31,336.51,361.6,413.94,430.05,412.74,383.98,335.35,323.85,306.25,327.00625
Latvia,12/12/2022,NAT,280.18,242.41,240,240,240,276.9,382.82,505,532.13,501.65,505.47,497.35,489.95,482.8,506.04,530.26,450,531.15,530.23,495.84,473.79,399.09,338.7,199.99,411.3229167
Latvia,12/13/2022,NAT,298.8,260.53,244.59,243.09,272.15,308.49,368.9,499.7,571.76,553.29,518.08,505.16,482.78,506.03,552.71,570.25,590,665.01,595.94,522.58,452.47,353.79,321.03,283.08,439.1754167
Netherlands,12/8/2022,NAT,290.99,284.4,273.11,272.72,277.12,300.21,314.05,359.9,420,455.5,415.48,399.9,368,392.34,450.1,456.99,462.92,498.21,399.9,386.5,400,342.39,326.21,302.61,368.73125
Netherlands,12/9/2022,NAT,327,306.74,303,298.49,302.34,316.47,338.07,456.2,502.99,493.01,484.24,488.16,481.1,470,476.44,483.01,476.39,507.91,481.6,461.21,445.23,376.39,338.04,321.36,413.9745833
Netherlands,12/10/2022,NAT,312.8,306,292.8,287.26,284.9,289.02,296.7,315.2,346.5,396.61,419.33,412.38,398.1,375.9,377.07,393.5,420.59,449.92,442.7,423.34,362.67,325.43,312.39,294.71,355.6591667
Netherlands,12/11/2022,NAT,304.59,302.48,297.66,281.47,277.29,274,281.25,282,294.61,320.5,317.65,345.08,347.25,324.74,328.28,336.51,361.6,413.94,430.37,410.06,379.9,335.35,324.8,307.03,328.2670833
Netherlands,12/12/2022,NAT,282.47,279.48,276.76,271.97,270,285.6,352.76,505,560.62,513.99,503.67,467.72,460.52,440,493.88,535.73,558.54,593.16,546.71,501.84,488.63,408.9,359.26,305.3,427.6045833
Netherlands,12/13/2022,NAT,305.7,287.52,284.69,275.83,282.3,316.07,368.9,499.7,571.76,553.29,486.27,448.9,459.98,506.03,552.71,570.25,590,665.01,560.15,516.57,399.9,341.44,301.69,283.08,434.4891667
Romania,12/8/2022,NAT,254.22,247.58,234.92,234.34,261.8,300.39,332.16,413.05,449.92,456.39,450.14,449.82,447.86,447.66,454,456.99,462.92,498.21,468.76,464.26,439.36,349.97,316.61,247.05,380.7658333
Romania,12/9/2022,NAT,148.84,150.63,235.48,215.79,265.52,292,362.25,456.36,474.51,476,441.37,305.58,481.1,470,476.44,485.16,420.39,507.91,462.42,450.38,151.44,152.42,156,91.69,338.7366667
Romania,12/10/2022,NAT,272.73,185.43,183.6,168.34,168.35,258.39,271.22,284.91,338.62,396.61,419.33,412.38,398.1,375.9,377.07,393.5,420.59,449.92,442.7,397.85,347.24,305.72,230.08,192.2,320.4491667
Romania,12/11/2022,NAT,10.13,1,0.2,0.2,0.2,0.2,2,15,152.79,152.8,280,174.67,330.61,324.74,308.18,336.51,361.6,413.94,430.46,413.2,384.47,335.35,311.16,183.58,205.1245833
Romania,12/12/2022,NAT,20.32,10,45.6,71.09,44.75,267.26,377.26,505,629.94,624.83,595.14,546.48,560.57,565.06,591.32,662.04,708.58,664.69,669.17,666.54,477.55,408.9,337.28,168.35,425.7383333
Romania,12/13/2022,NAT,264.15,149.61,133.74,73.38,81.71,316.07,368.9,499.7,571.76,553.29,328.88,281,329.99,506.03,552.71,570.25,590,665.01,602.03,526.38,461.6,365.52,330.74,294.94,392.39125
Spain,12/8/2022,NAT,125.01,109,105.6,104.79,102.6,102.5,104.7,110,110,118.47,119.05,119.05,119.05,120.07,119.05,110.71,119.05,135.93,151.84,165,166.44,152,136.65,110.71,122.38625
Spain,12/9/2022,NAT,118.1,115.17,112,110,113,117,120.4,166.84,169.84,164,156,155.3,145,148.87,154,158.5,159,164,167.42,170.42,166.84,159,135,119.62,144.3883333
Spain,12/10/2022,NAT,115.3,111.9,100.17,86,82,82.62,100.1,110,114.7,118.47,116.3,116.3,114.7,114.33,113,112.8,113.3,130.07,156.94,176.5,187,185.38,179.92,162.65,125.01875
Spain,12/11/2022,NAT,172.91,142.32,118.47,114.6,114.6,116,119.05,119.62,135,155,156.47,153.87,143,148.17,152.02,141.02,148.17,156.97,173.92,176.8,181.07,175.48,160.02,140.24,146.4495833
